entity_col,n_entities_with,n_entities_without,n_entities_buyback_only,total_obs_gained,median_obs_gained_per_entity,mean_enc_abs_diff,p95_enc_abs_diff,max_enc_abs_diff,global_mean_with,global_mean_without
sire_target_enc,881,856,25,1383,0.0,0.03375962251828153,0.12845840787212914,0.3309212424309731,9.389821679558855,9.377427690854901
damsire_target_enc,1298,1257,41,1383,0.0,0.0271469097941638,0.11347015553800484,0.28438745565896184,9.389821679558855,9.377427690854901
consignor_target_enc,642,603,39,1383,0.0,0.038747422467527444,0.15334973353027093,0.35207901134434927,9.389821679558855,9.377427690854901
