entity,n_with,mean_target_with,enc_with,global_mean_with,n_without,mean_target_without,enc_without,global_mean_without,obs_gained,enc_abs_diff,entity_col
ALMANZOR,23,9.914409481501359,9.75544348091272,9.389821679558855,22,9.910573651917764,9.743965539085618,9.377427690854901,1,0.011477941827102711,sire_target_enc
ALMUTAWAKEL,1,6.907755278982137,9.164179279506426,9.389821679558855,1,6.907755278982137,9.152912017048287,9.377427690854901,0,0.011267262458138916,sire_target_enc
ALTERNATION,1,8.294049640102028,9.290206039608234,9.389821679558855,1,8.294049640102028,9.278938777150096,9.377427690854901,0,0.011267262458138916,sire_target_enc
ALZAO,2,9.504233704427243,9.408890350370253,9.389821679558855,1,9.615805480084347,9.39909839896667,9.377427690854901,1,0.009791951403583354,sire_target_enc
AMADEUS WOLF,22,9.030457431869296,9.142758759272283,9.389821679558855,17,8.911807726278807,9.084259565010694,9.377427690854901,5,0.05849919426158934,sire_target_enc
AMARON,3,9.661941603319022,9.452618585041971,9.389821679558855,3,9.661941603319022,9.443084747577391,9.377427690854901,0,0.009533837464580586,sire_target_enc
AMERICAN PHAROAH,9,10.301378197895906,9.821611609297458,9.389821679558855,8,10.281162555073948,9.77908763050781,9.377427690854901,1,0.04252397878964764,sire_target_enc
AMERICAN POST,9,8.977021166803699,9.19428459456957,9.389821679558855,7,9.370197940307017,9.374450734746949,9.377427690854901,2,0.18016614017737886,sire_target_enc
ANABAA,8,9.479660013353286,9.429749827911936,9.389821679558855,7,9.30326604829626,9.34689054391899,9.377427690854901,1,0.08285928399294562,sire_target_enc
ANIMAL KINGDOM,10,9.83973450434652,9.614778091952688,9.389821679558855,9,9.934460913644804,9.641285533229066,9.377427690854901,1,0.02650744127637772,sire_target_enc
ANJAAL,15,8.787089160734645,9.02818216826433,9.389821679558855,14,8.93726612023941,9.120666774662531,9.377427690854901,1,0.09248460639820166,sire_target_enc
ANODIN,3,9.740085440348375,9.47065177820259,9.389821679558855,3,9.740085440348375,9.46111794073801,9.377427690854901,0,0.009533837464580586,sire_target_enc
ANTONIUS PIUS,11,8.820741297700083,9.09173195572807,9.389821679558855,11,8.820741297700083,9.085830056345234,9.377427690854901,0,0.005901899382836362,sire_target_enc
APPROVE,40,8.944656839844825,9.033689807787631,9.389821679558855,33,9.1327909066471,9.189683182044263,9.377427690854901,7,0.1559933742566315,sire_target_enc
APTITUDE,5,9.618083811704485,9.465909056940733,9.389821679558855,5,9.618083811704485,9.457646397804762,9.377427690854901,0,0.008262659135970907,sire_target_enc
AQLAAM,24,9.133908712417275,9.2091772321648,9.389821679558855,24,9.133908712417275,9.20553194136952,9.377427690854901,0,0.0036452907952799762,sire_target_enc
